chr1	29537	30373	836	93	3.14381		chr1	29626	30178	552	38	9.14511	0.06884058	0.061994609
chr1	761642	763152	1510	147	6.96143		chr1	761934	762229	295	44	16.1222	0.149152542	0.24822695
chr1	761642	763152	1510	147	6.96143		chr1	762513	762697	184	25	9.16133	0.135869565	0.163398693
chr1	1258681	1259239	558	33	3.81105		chr1	1259194	1259709	515	46	17.0885	0.089320388	0.056451613
chr1	1284959	1285338	379	33	3.73626		chr1	1285231	1286968	1737	90	33.0863	0.051813472	0.076923077
chr1	1341812	1343586	1774	70	4.44862		chr1	1341986	1342222	236	32	9.13707	0.13559322	0.075520833
chr1	1446334	1446960	626	139	9.07912		chr1	1446531	1446714	183	18	6.42164	0.098360656	0.060240964
chr1	6418967	6420099	1132	79	5.35475		chr1	6419443	6419629	186	27	9.46347	0.14516129	0.054794521
chr1	6551567	6552012	445	153	6.95574		chr1	6551553	6551953	400	50	10.3711	0.125	0.069958848
chr1	7843127	7843664	537	50	4.48944		chr1	7843537	7843898	361	101	35.5013	0.279778393	0.088729017
chr1	8086777	8087154	377	92	2.5313		chr1	8086851	8087412	561	98	35.3206	0.174688057	0.088729017
chr1	9353848	9354189	341	76	2.94343		chr1	9353889	9354456	567	34	9.69084	0.059964727	0.077490775
chr1	9970576	9971409	833	126	5.95685		chr1	9970637	9970835	198	36	10.2446	0.181818182	0.045364892
chr1	9970576	9971409	833	126	5.95685		chr1	9971312	9971493	181	32	11.2564	0.17679558	0.054892601
chr1	10753597	10754612	1015	234	13.7588		chr1	10753333	10753767	434	26	7.47579	0.059907834	0.114832536
chr1	11321746	11322254	508	92	4.2196		chr1	11321890	11322068	178	16	4.60376	0.08988764	0.050505051
chr1	11332638	11333032	394	73	4.36836		chr1	11332983	11333184	201	34	11.9386	0.169154229	0.0456621
chr1	15851704	15852567	863	119	3.04878		chr1	15850836	15852176	1340	67	23.6675	0.05	0.093333333
chr1	16400307	16400609	302	57	3.37602		chr1	16400341	16400657	316	25	8.69505	0.079113924	0.098859316
chr1	16533056	16533976	920	80	5		chr1	16533000	16533357	357	43	14.1603	0.120448179	0.139130435
chr1	16969978	16971654	1676	113	5.48604		chr1	16970049	16970290	241	103	10.2556	0.427385892	0.064516129
chr1	17379544	17381073	1529	103	5.9293		chr1	17379847	17380077	230	34	9.69084	0.147826087	0.065972222
chr1	19228207	19228728	521	81	3.77185		chr1	19228443	19228768	325	56	20.7244	0.172307692	0.036649215
chr1	19637515	19638363	848	55	3.30969		chr1	19637458	19637710	252	31	11.6347	0.123015873	0.044520548
chr1	19637515	19638363	848	55	3.30969		chr1	19637927	19638188	261	41	15.2706	0.157088123	0.037900875
chr1	19811055	19811702	647	57	3.64322		chr1	19811246	19811586	340	55	18.7278	0.161764706	0.096491228
chr1	19922760	19923586	826	134	6.50916		chr1	19922878	19923187	309	54	18.1798	0.174757282	0.131034483
chr1	19971453	19971666	213	40	2.87518		chr1	19971304	19971568	264	42	15.6342	0.159090909	0.046979866
chr1	20812392	20812606	214	50	2.90764		chr1	20812307	20812768	461	48	17.3371	0.104121475	0.030364372
chr1	20833812	20834903	1091	196	10.2073		chr1	20833850	20834035	185	25	8.69505	0.135135135	0.038461538
chr1	21672262	21672934	672	107	4.90018		chr1	21672374	21673362	988	35	12.1673	0.035425101	0.092465753
chr1	21835391	21835712	321	56	6.38912		chr1	21835394	21835682	288	43	10.3176	0.149305556	0.060217177
chr1	22264213	22264553	340	60	3.03181		chr1	22264175	22264556	381	49	13.5405	0.128608924	0.063545151
chr1	23345380	23345894	514	105	4.42404		chr1	23345242	23345484	242	31	11.6347	0.128099174	0.442231076
chr1	23494882	23495175	293	118	4.59815		chr1	23494775	23495187	412	45	12.7365	0.109223301	0.054054054
chr1	23810910	23811369	459	78	4.26106		chr1	23810882	23811245	363	57	10.4122	0.157024793	0.057788945
chr1	23952530	23952848	318	22	2.57806		chr1	23952384	23952926	542	40	11.3521	0.073800738	0.104438642
